ROI,ICC,pval
S4_D2,0.5217578642221637,0.01585030011421751
S4_D3,0.5892108876254155,0.006407213022120829
S5_D2,-0.014220418520422405,0.5208430912386292
S5_D3,0.5928903976075846,0.012722373950207862
S5_D4,0.4631030454126678,0.03542093029467685
S5_D5,-0.009500481716699012,0.5134033040160928
S10_D9,-0.26913526441537555,0.8432662077085726
S10_D10,-0.11268569416460318,0.6666209051849066
S10_D11,0.5663722026197017,0.008887327420786363
S10_D12,0.37856324963543275,0.07410430423879816
S11_D11,0.6904001505679053,0.0010779780763043798
S11_D12,0.20360745846806058,0.21657436505208189
S6_D6,-0.27631856148029327,0.7946071874183218
S6_D8,-0.24261648177345804,0.8081926719478103
S7_D6,0.09687651233696194,0.3950301559582403
S7_D7,-0.1292231979469522,0.6768805472369614
S8_D7,-0.2206273768587675,0.7546099941798371
S8_D8,0.1709134944087344,0.2883265748424875
S9_D8,0.06142736943143165,0.4209947137417477
S7_D8,0.2573411409836881,0.2519127233195868
S1_D1,0.32542319601904474,0.10122694813234948
S2_D1,0.4789371903559516,0.02588489204641673
S3_D1,0.5443254651714856,0.011940274517393738
S3_D2,0.20030055682149386,0.2204078622377104
S12_D1,0.3270411274048513,0.10004383300014866
