Condition,N_Participants,Global_Mean,Global_Std
Control,32,-1.4675835228720958e-07,1.4712082971644306e-06
Noise,32,6.891794946966671e-07,1.3800409746187621e-06
Speech,32,9.625289108840052e-07,1.7012091740094687e-06
