Subject,Session,ROI,Mean_Control,Mean_Noise,Mean_Speech
01,01,Noise_WAA,-1.8575286364765753,5.493557316636913,3.4208303340197235
01,01,Speech_WAA,-2.088762961879596,4.622468825070933,3.3396731387617926
01,01,Left_Auditory,-1.01209450708381,3.593044991101111,2.875042350356943
01,01,Right_Auditory,-1.7123299321406886,5.021224998759798,3.8007560891648824
01,01,Visual,-0.9782898568230697,4.116434563166907,2.960050220335238
01,01,Front,0.19259077984586417,0.3158443610135932,0.6586735587182108
01,02,Noise_WAA,0.364234283452469,3.3944505412827284,2.8519585557599836
01,02,Speech_WAA,0.35029431683673057,3.8462370530676466,3.465269807340684
01,02,Left_Auditory,0.2537510556133828,2.36760859178654,0.44104062780828385
01,02,Right_Auditory,0.13950503422803995,3.4645729442417994,4.43677815186243
01,02,Visual,1.2746909356737464,3.613363543443944,1.7211650379836931
01,02,Front,-0.013654437683765602,2.1143506906531453,0.5501331642837819
02,01,Noise_WAA,1.5692242945924506,0.4415406452977093,1.3625264162126158
02,01,Speech_WAA,0.6300579349183215,0.4075825943634806,1.3328605790224866
02,01,Left_Auditory,0.8729594098721201,0.3137957985003522,-0.155291438492692
02,01,Right_Auditory,0.8315359233667579,0.5277697114789511,2.1035502936599286
02,01,Visual,-0.37031915115563896,-0.2736618187778801,1.3548027806242584
02,01,Front,-0.35276187253681224,0.3861293343073844,0.5609105053829129
02,02,Noise_WAA,-1.7175420895481286,5.426945121239465,4.080848641337913
02,02,Speech_WAA,-1.6137526845487593,4.925579861235899,3.620839777346396
02,02,Left_Auditory,-1.8834511001597507,3.0050832907032885,1.8245218238794856
02,02,Right_Auditory,-1.529718442631294,5.5421197624363545,4.663405169319944
02,02,Visual,0.576251299462753,2.8244932071289703,0.7567409358905399
02,02,Front,-0.5760483198759977,0.9186132136670052,0.5286130696434574
03,01,Noise_WAA,0.2276054176551586,1.9017188119174002,-0.7882942816020708
03,01,Speech_WAA,0.31261186879315145,2.2725605350736915,-0.8704238641162704
03,01,Left_Auditory,-1.577994581704343,1.5127395295360464,-0.8865024702497248
03,01,Right_Auditory,0.5834913076359388,1.7159693401027394,-1.2982473034041284
03,01,Visual,0.5944059525944592,3.807514131977439,0.15404442344502556
03,01,Front,-0.28956017057552136,0.204422659434956,-1.1136231428798105
03,02,Noise_WAA,-3.556870925726136,1.358124366205868,0.25341059306492963
03,02,Speech_WAA,-4.03858630286081,2.1085344985664327,1.3791137570718683
03,02,Left_Auditory,-3.3937814452339277,1.9431563246804984,0.1623485322430019
03,02,Right_Auditory,-3.250141592914967,1.5576048482911091,0.5788484419983584
03,02,Visual,-4.900913049802082,2.682460833433252,1.6706588942594665
03,02,Front,-4.2744150262327425,0.6329945491351175,0.36517284881103407
04,01,Noise_WAA,0.4785603801089535,3.918398573076581,3.601594756647096
04,01,Speech_WAA,0.4334996630039235,3.354716797491861,3.59118855844926
04,01,Left_Auditory,0.34425714321358053,4.037989501077176,3.8104423171963204
04,01,Right_Auditory,0.17092624966188635,3.2935989220577397,3.514081439552811
04,01,Visual,0.22226468915297715,2.9430203915116304,4.196139750087086
04,01,Front,0.5137849064264607,3.2887193699602513,2.322685875866935
04,02,Noise_WAA,-0.9587853251388042,0.034782167086877536,0.4318121734106045
04,02,Speech_WAA,-0.8576248901732445,0.7570126843345981,1.3864617898959333
04,02,Left_Auditory,-0.8408936016485411,1.6414935067488456,2.031433022080984
04,02,Right_Auditory,-0.6673078186692971,-0.3510225576219594,1.110977110427012
