Subject,Session,ROI,# Bad Channels,Total Channels,BadChannelProportion,Activation (0/1)
10,01,Right_Auditory,0,6,0.0,1
10,01,Speech_GLM,0,6,0.0,1
10,01,Speech_WAA,0,7,0.0,1
10,01,Visual,1,8,0.125,0
10,02,All_ROIs,1,25,0.04,1
10,02,Front,0,5,0.0,1
10,02,Left_Auditory,0,6,0.0,0
10,02,Noise_GLM,0,2,0.0,0
10,02,Noise_WAA,0,7,0.0,1
10,02,Right_Auditory,0,6,0.0,1
10,02,Speech_GLM,0,6,0.0,0
10,02,Speech_WAA,0,7,0.0,1
10,02,Visual,1,8,0.125,1
11,01,All_ROIs,5,25,0.2,1
11,01,Front,0,5,0.0,1
11,01,Left_Auditory,0,6,0.0,1
11,01,Noise_GLM,0,2,0.0,1
11,01,Noise_WAA,0,7,0.0,1
11,01,Right_Auditory,0,6,0.0,1
11,01,Speech_GLM,1,6,0.167,1
11,01,Speech_WAA,0,7,0.0,1
11,01,Visual,5,8,0.625,1
11,02,All_ROIs,4,25,0.16,0
11,02,Front,0,5,0.0,0
11,02,Left_Auditory,0,6,0.0,0
11,02,Noise_GLM,0,2,0.0,1
11,02,Noise_WAA,0,7,0.0,0
11,02,Right_Auditory,0,6,0.0,0
11,02,Speech_GLM,1,6,0.167,0
11,02,Speech_WAA,0,7,0.0,0
11,02,Visual,4,8,0.5,1
12,01,All_ROIs,0,25,0.0,0
12,01,Front,0,5,0.0,0
12,01,Left_Auditory,0,6,0.0,0
12,01,Noise_GLM,0,2,0.0,0
12,01,Noise_WAA,0,7,0.0,0
12,01,Right_Auditory,0,6,0.0,0
12,01,Speech_GLM,0,6,0.0,0
12,01,Speech_WAA,0,7,0.0,0
12,01,Visual,0,8,0.0,0
12,02,All_ROIs,0,25,0.0,1
12,02,Front,0,5,0.0,1
12,02,Left_Auditory,0,6,0.0,1
12,02,Noise_GLM,0,2,0.0,1
12,02,Noise_WAA,0,7,0.0,1
12,02,Right_Auditory,0,6,0.0,1
12,02,Speech_GLM,0,6,0.0,1
12,02,Speech_WAA,0,7,0.0,1
12,02,Visual,0,8,0.0,0
13,01,All_ROIs,2,25,0.08,1
13,01,Front,0,5,0.0,1
13,01,Left_Auditory,0,6,0.0,1
13,01,Noise_GLM,0,2,0.0,1
13,01,Noise_WAA,1,7,0.143,1
13,01,Right_Auditory,1,6,0.167,1
13,01,Speech_GLM,0,6,0.0,1
13,01,Speech_WAA,1,7,0.143,1
13,01,Visual,1,8,0.125,1
13,02,All_ROIs,2,25,0.08,1
13,02,Front,0,5,0.0,1
13,02,Left_Auditory,0,6,0.0,1
13,02,Noise_GLM,0,2,0.0,1
13,02,Noise_WAA,0,7,0.0,1
13,02,Right_Auditory,0,6,0.0,1
13,02,Speech_GLM,1,6,0.167,1
13,02,Speech_WAA,0,7,0.0,1
13,02,Visual,2,8,0.25,1
16,01,All_ROIs,0,25,0.0,0
16,01,Front,0,5,0.0,0
16,01,Left_Auditory,0,6,0.0,0
16,01,Noise_GLM,0,2,0.0,0
16,01,Noise_WAA,0,7,0.0,0
16,01,Right_Auditory,0,6,0.0,0
16,01,Speech_GLM,0,6,0.0,0
16,01,Speech_WAA,0,7,0.0,0
