Subject,Session,ROI,Comparison,t_stat,p_value,Effect
01,01,Noise_WAA,Control vs Noise,-3.7562845270741105,0.00030597945216211315,7.351085953113488
01,01,Noise_WAA,Control vs Speech,-2.2657135675964466,0.014863781137881362,5.278358970496299
01,01,Speech_WAA,Control vs Noise,-3.689759205323169,0.0003692156972976151,6.711231786950529
01,01,Speech_WAA,Control vs Speech,-2.624917520083473,0.006370589693556898,5.428436100641388
01,01,Left_Auditory,Control vs Noise,-3.3941539640560046,0.0008817283895354186,4.605139498184921
01,01,Left_Auditory,Control vs Speech,-2.25767734302641,0.015103831284422675,3.887136857440753
01,01,Right_Auditory,Control vs Noise,-3.8899870561042587,0.00021635108137867945,6.733554930900486
01,01,Right_Auditory,Control vs Speech,-2.9854987220091576,0.0025847827443557327,5.513086021305571
01,01,Visual,Control vs Noise,-3.899764835471816,0.0002033528869192197,5.094724419989976
01,01,Visual,Control vs Speech,-2.774013273775063,0.00437882413716771,3.9383400771583075
01,01,Front,Control vs Noise,-0.12826017324798766,0.4493339285919526,0.12325358116772903
01,01,Front,Control vs Speech,-0.47435074530898913,0.3190440570763336,0.4660827788723466
01,02,Noise_WAA,Control vs Noise,-1.704866777876567,0.04831667840794871,3.0302162578302596
01,02,Noise_WAA,Control vs Speech,-1.5497497236068278,0.0649482284365711,2.4877242723075144
01,02,Speech_WAA,Control vs Noise,-1.7507460514135442,0.044144241153910684,3.495942736230916
01,02,Speech_WAA,Control vs Speech,-1.6770469599671494,0.05113798623491157,3.1149754905039533
01,02,Left_Auditory,Control vs Noise,-1.4299406327449566,0.08076363802462107,2.1138575361731573
01,02,Left_Auditory,Control vs Speech,-0.136773556795773,0.4460399206163683,0.18728957219490106
01,02,Right_Auditory,Control vs Noise,-1.990604468065731,0.027007282077291046,3.3250679100137592
01,02,Right_Auditory,Control vs Speech,-2.708440436584706,0.005088137561178729,4.29727311763439
01,02,Visual,Control vs Noise,-0.9095371060009219,0.1847348066071431,2.3386726077701976
01,02,Visual,Control vs Speech,-0.17377617850696675,0.4315365227125292,0.4464741023099468
01,02,Front,Control vs Noise,-1.5531574501847152,0.06445964050107227,2.128005128336911
01,02,Front,Control vs Speech,-0.46526716694984666,0.32238539743936157,0.5637876019675475
02,01,Noise_WAA,Control vs Noise,0.37482107585938534,0.6448889358985044,-1.1276836492947413
02,01,Noise_WAA,Control vs Speech,0.07610194748664668,0.5301165263751371,-0.20669787837983478
02,01,Speech_WAA,Control vs Noise,0.07698503636265826,0.5304401551075938,-0.22247534055484092
02,01,Speech_WAA,Control vs Speech,-0.27289167545907494,0.3932748326846381,0.702802644104165
02,01,Left_Auditory,Control vs Noise,0.2256663491739149,0.5885349455760882,-0.5591636113717678
02,01,Left_Auditory,Control vs Speech,0.5170059701400085,0.6958832778128239,-1.028250848364812
02,01,Right_Auditory,Control vs Noise,0.11443805755082459,0.5451910452173717,-0.3037662118878067
02,01,Right_Auditory,Control vs Speech,-0.49876931273497965,0.31064991914873347,1.2720143702931708
02,01,Visual,Control vs Noise,-0.0504024717018755,0.48004067955384894,0.09665733237775886
02,01,Visual,Control vs Speech,-0.9356454458060545,0.1777796265490001,1.7251219317798974
02,01,Front,Control vs Noise,-0.3864153192565989,0.3507284756148715,0.7388912068441966
02,01,Front,Control vs Speech,-0.5218843991134268,0.3023995934832222,0.9136723779197251
02,02,Noise_WAA,Control vs Noise,-3.4000687216141663,0.0008394450440870458,7.144487210787593
02,02,Noise_WAA,Control vs Speech,-2.185273219384907,0.01788098817842204,5.798390730886042
02,02,Speech_WAA,Control vs Noise,-3.1170517455691438,0.001795069291701887,6.539332545784658
02,02,Speech_WAA,Control vs Speech,-1.962647364691467,0.028990672301827555,5.234592461895155
02,02,Left_Auditory,Control vs Noise,-3.218504111546559,0.001363882549042566,4.88853439086304
02,02,Left_Auditory,Control vs Speech,-1.7610865851249415,0.04407977060591091,3.707972924039236
02,02,Right_Auditory,Control vs Noise,-3.192046480758211,0.0014684075768050205,7.071838205067649
02,02,Right_Auditory,Control vs Speech,-2.3411037882515044,0.012508435944259952,6.193123611951238
02,02,Visual,Control vs Noise,-1.3929980831957174,0.0860856479242661,2.2482419076662175
02,02,Visual,Control vs Speech,-0.10153596528080236,0.45984488782238553,0.18048963642778693
02,02,Front,Control vs Noise,-1.6185901475208964,0.05720593159722406,1.494661533543003
02,02,Front,Control vs Speech,-0.9478475791423803,0.1752346607864897,1.104661389519455
03,01,Noise_WAA,Control vs Noise,-0.9254009070128729,0.1803735959427722,1.6741133942622417
03,01,Noise_WAA,Control vs Speech,0.5062547639540036,0.6921940618185289,-1.0158996992572293
03,01,Speech_WAA,Control vs Noise,-0.8600355755937692,0.19762218799250753,1.95994866628054
03,01,Speech_WAA,Control vs Speech,0.4801343080287582,0.6830557363524143,-1.1830357329094219
03,01,Left_Auditory,Control vs Noise,-1.3577016620743192,0.09128338005009923,3.0907341112403897
03,01,Left_Auditory,Control vs Speech,-0.33661919313498434,0.36917431354296404,0.6914921114546182
03,01,Right_Auditory,Control vs Noise,-0.6417389743620228,0.26252516750078025,1.1324780324668007
03,01,Right_Auditory,Control vs Speech,0.9154565658519438,0.8170997808749365,-1.8817386110400673
03,01,Visual,Control vs Noise,-0.9246176133723526,0.18055211430056622,3.2131081793829797
03,01,Visual,Control vs Speech,0.11817356110345105,0.5467236412178506,-0.4403615291494336
03,01,Front,Control vs Noise,-0.3341962521885318,0.3700364548194337,0.4939828300104774
03,01,Front,Control vs Speech,0.6488439518730863,0.7396642768838925,-0.8240629723042892
